fname,iou_score_otsu,dice_score_otsu,iou_score_niblack,dice_score_niblack
1903711037.bmp,0.05586351548747144,0.0004149638784585685,0.025785092534165464,0.00019715242631981587
1901212024.bmp,0.005457207506987888,4.256931790455128e-05,0.0011468210679421555,8.984371576077906e-06
1901210017.bmp,0.017506797331924964,0.0001349457465326859,0.009160573387863014,7.119544333109594e-05
516808004.bmp,0.0050999655830543476,3.97967679164805e-05,0.0027852059429118218,2.1784079346170236e-05
1903310062.bmp,0.028093631107194292,0.00021432114556046126,0.011896411695215594,9.220824255131408e-05
1903710040.bmp,0.05704184979935028,0.000423244413014234,0.022303397761187005,0.0001711122258565814
1912212035.bmp,0.02557402181108672,0.00019557882606074535,0.012814805115446729,9.9236578007775e-05
1905012010.bmp,0.23764165940208196,0.0015059739933719108,0.17493469991756797,0.001167755843958675
1606511043.bmp,0.007206959076407537,5.61207095695193e-05,0.002507286301752705,1.9615808154897414e-05
1903310029.bmp,0.012847262470538233,9.948473638601873e-05,0.005537697983112103,4.3193731517832594e-05
1100212030.bmp,0.0049987687761635065,3.901102253559155e-05,0.0015530088590357575,1.2161574606392586e-05
1907707084.bmp,0.01329822601664938,0.00010293101203314996,0.004473352240702138,3.4928866490171106e-05
1907107099.bmp,0.0158882551156793,0.0001226648354143844,0.008261954872497675,6.426866127959742e-05
1903711022.bmp,0.0595105878868651,0.00044053331250563086,0.02698913718708551,0.00020611659820422116
1100212057.bmp,0.0022585185427645574,1.7673953970876396e-05,0.0005003952397183282,3.922705643579554e-06
1901212033.bmp,0.008112957328964818,6.311895647371383e-05,0.0009347390370390344,7.324440124902832e-06
1100212034.bmp,0.0018791946308724832,1.4711136330201963e-05,0.000696840987523228,5.461613633748091e-06
1903709070.bmp,0.007059217830285511,5.497831048552211e-05,0.0031097454068968063,2.4314548000128427e-05
1905010030.bmp,0.06499314722643007,0.00047864174117222074,0.03553244395326808,0.000269123228880861
1100212007.bmp,0.0022630736021168442,1.770951893454085e-05,0.00047008454289702254,3.685205233331604e-06
1901205042.bmp,0.010631411702398933,8.250646103986302e-05,0.005634564204923486,4.394504922940086e-05
1881310124.bmp,0.01436435372221041,0.00011106620358636059,0.005657340119660187,4.412168368490079e-05
1903710031.bmp,0.031098515922141846,0.00023655346703993328,0.010132672401224669,7.867475488427312e-05
1901211013.bmp,0.006357147409342935,4.954501471915334e-05,0.00424779891622574,3.31751485710366e-05
1901211043.bmp,0.011994318480719659,9.295811686425363e-05,0.004747280204049763,3.70576471929137e-05
1901212013.bmp,0.008901734104046244,6.920150895238352e-05,0.0014530220972581284,1.1379716763283418e-05
1100212026.bmp,0.007063035170044991,5.500783202265871e-05,0.0023010062962466804,1.8005677029642924e-05
1100911009.bmp,0.0017785125623105635,1.392435349815061e-05,0.000626466903135864,4.910389710312942e-06
1901207020.bmp,0.059668777398928396,0.0004416383882902736,0.03227703162715851,0.00024523764597723853
1100209013.bmp,0.013877225394692643,0.00010735124604994918,0.005166888141952631,4.031630304990393e-05
1903710005.bmp,0.02467715125942974,0.00018888513728426235,0.0125735239371603,9.739132189976516e-05
1903711055.bmp,0.02587129772808374,0.0001977949275831847,0.010862779373205143,8.428272494768659e-05
1903709091.bmp,0.009336484559642167,7.254996822144436e-05,0.003941877917237057,3.0795298240866904e-05
1877510561.bmp,0.009662176458142322,7.505656635383966e-05,0.0031878999418266433,2.4923682592354068e-05
1882909271.bmp,0.016193163599050858,0.00012498136107177085,0.004326630625690762,3.3788168922110575e-05
